gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,delta.pct,exp.group1,exp.group2,ensembl_id,chromosome,strand,gene_biotype,membrane_protein,description
ANXA1,1.41E-82,-2.913259388,0.359,0.826,5.37E-78,-0.467,1.963722339,21.32625982,ENSG00000135046,9,+,protein_coding,yes,annexin A1
H3F3B,2.07E-82,-1.497873155,0.718,0.968,7.88E-78,-0.25,6.788139583,20.99573486,ENSG00000132475,17,-,protein_coding,no,H3.3 histone B
FTH1,2.41E-81,-2.793050929,0.626,0.944,9.20E-77,-0.318,6.107309112,48.2603296,ENSG00000167996,11,-,protein_coding,no,ferritin heavy chain 1
PABPC1,5.95E-77,-1.58338013,0.699,0.962,2.27E-72,-0.263,4.823545093,16.45148371,ENSG00000070756,8,-,protein_coding,no,poly(A) binding protein cytoplasmic 1
HIST1H4C,1.29E-74,-2.647590741,0.319,0.812,4.93E-70,-0.493,1.445317149,14.32284551,ENSG00000197061,6,+,protein_coding,no,H4 clustered histone 3
RPL37,5.08E-73,-1.252254905,0.755,0.987,1.94E-68,-0.232,24.12416936,58.84915195,ENSG00000145592,5,-,protein_coding,no,ribosomal protein L37
RPS27,9.82E-73,-1.256563692,0.794,0.992,3.75E-68,-0.198,67.00395566,161.4791125,ENSG00000177954,1,+,protein_coding,no,ribosomal protein S27
EEF1A1,2.62E-72,-1.123725412,0.874,0.996,1.00E-67,-0.122,30.25918668,67.11656356,ENSG00000156508,6,-,protein_coding,yes,eukaryotic translation elongation factor 1 alpha 1
RPL37A,2.58E-71,-1.25824828,0.715,0.988,9.83E-67,-0.273,17.08220555,42.25356181,ENSG00000197756,2,+,protein_coding,no,ribosomal protein L37a
MT-CO1,1.12E-70,0.998428795,0.997,1,4.26E-66,-0.003,292.7861072,146.0531185,ENSG00000198804,MT,+,protein_coding,no,mitochondrially encoded cytochrome c oxidase I
RPS12,1.28E-70,-1.218082312,0.678,0.99,4.88E-66,-0.312,25.3305263,60.25462043,ENSG00000112306,6,+,protein_coding,no,ribosomal protein S12
TNFAIP3,5.15E-69,-2.073305541,0.212,0.764,1.96E-64,-0.552,1.134918803,7.984802191,ENSG00000118503,6,+,protein_coding,no,TNF alpha induced protein 3
RPS28,6.23E-69,-1.207164494,0.816,0.986,2.38E-64,-0.17,26.14435639,61.67181483,ENSG00000233927,19,+,protein_coding,no,ribosomal protein S28
RPL39,4.15E-68,-1.189425144,0.709,0.986,1.58E-63,-0.277,24.46394988,57.0735556,ENSG00000198918,X,-,protein_coding,no,ribosomal protein L39
RPLP1,7.13E-68,-1.141631597,0.791,0.99,2.72E-63,-0.199,30.74876619,69.04743019,ENSG00000137818,15,+,protein_coding,no,ribosomal protein lateral stalk subunit P1
RPSA,7.34E-68,-1.289789884,0.66,0.946,2.80E-63,-0.286,6.030281168,16.1885063,ENSG00000168028,3,+,protein_coding,yes,ribosomal protein SA
CALM1,1.18E-66,-1.303467255,0.629,0.942,4.50E-62,-0.313,4.978171322,13.7554038,ENSG00000198668,14,+,protein_coding,yes,calmodulin 1
CRIP1,1.86E-64,-2.130674706,0.31,0.773,7.08E-60,-0.463,1.524591219,10.05574631,ENSG00000213145,14,+,protein_coding,no,cysteine rich protein 1
RGCC,5.31E-64,-2.229707868,0.098,0.641,2.02E-59,-0.543,0.396347482,5.549414185,ENSG00000102760,13,+,protein_coding,no,regulator of cell cycle
RPL34,3.56E-63,-1.134524786,0.727,0.989,1.36E-58,-0.262,23.7189593,53.26954418,ENSG00000109475,4,+,protein_coding,no,ribosomal protein L34
HSPA5,6.49E-63,-1.725668617,0.27,0.756,2.48E-58,-0.486,1.121731777,6.017275009,ENSG00000044574,9,-,protein_coding,yes,heat shock protein family A (Hsp70) member 5
CXCR4,3.55E-62,-1.633611598,0.607,0.905,1.36E-57,-0.298,4.781626359,16.93973873,ENSG00000121966,2,-,protein_coding,yes,C-X-C motif chemokine receptor 4
DNAJA1,7.87E-61,-1.764947612,0.371,0.835,3.00E-56,-0.464,2.294852774,10.19794127,ENSG00000086061,9,+,protein_coding,no,DnaJ heat shock protein family (Hsp40) member A1
EZR,8.09E-60,-1.758542953,0.193,0.7,3.09E-55,-0.507,0.754067333,4.9349961,ENSG00000092820,6,-,protein_coding,yes,ezrin
HIST1H2AC,1.39E-59,1.635917015,0.503,0.128,5.30E-55,0.375,3.308887226,0.38645263,ENSG00000180573,6,+,protein_coding,no,H2A clustered histone 6
MT-ND4L,2.63E-57,1.519959166,0.963,0.815,1.00E-52,0.148,21.30828171,6.778803827,ENSG00000212907,MT,+,protein_coding,no,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L
NFE2L2,3.32E-57,-1.845169951,0.215,0.705,1.27E-52,-0.49,0.902901297,5.837034392,ENSG00000116044,2,-,protein_coding,yes,"nuclear factor, erythroid 2 like 2"
LMNA,6.43E-57,-2.016330099,0.064,0.582,2.45E-52,-0.518,0.426002297,4.768940581,ENSG00000160789,1,+,protein_coding,no,lamin A/C
PLCG2,5.32E-56,1.470120003,0.914,0.649,2.03E-51,0.265,17.89324717,5.819560522,ENSG00000197943,16,+,protein_coding,yes,phospholipase C gamma 2
RPL11,1.21E-54,-1.016224042,0.73,0.982,4.61E-50,-0.252,17.4182202,36.25302811,ENSG00000142676,1,+,protein_coding,no,ribosomal protein L11
MT-ATP8,9.00E-54,1.494030431,0.837,0.502,3.43E-49,0.335,9.05455398,2.569561228,ENSG00000228253,MT,+,protein_coding,no,mitochondrially encoded ATP synthase membrane subunit 8
SAMSN1,2.87E-53,-1.674512299,0.178,0.658,1.09E-48,-0.48,0.659646413,4.297781002,ENSG00000155307,21,-,protein_coding,no,"SAM domain, SH3 domain and nuclear localization signals 1"
YPEL5,3.10E-52,-1.644350025,0.163,0.639,1.18E-47,-0.476,0.549287158,3.843179909,ENSG00000119801,2,+,protein_coding,no,yippee like 5
FOSL2,1.48E-51,-1.542589828,0.117,0.612,5.64E-47,-0.495,0.508321828,3.393997701,ENSG00000075426,2,+,protein_coding,no,"FOS like 2, AP-1 transcription factor subunit"
MT-ND4,1.61E-51,1.002202977,0.997,0.997,6.13E-47,0,106.4573748,52.64670702,ENSG00000198886,MT,+,protein_coding,no,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
ZFP36,4.05E-51,-1.490301992,0.248,0.714,1.55E-46,-0.466,1.168612962,5.092669938,ENSG00000128016,19,+,protein_coding,no,ZFP36 ring finger protein
RPS5,3.65E-50,-1.071916117,0.589,0.921,1.39E-45,-0.332,5.404982561,12.4647054,ENSG00000083845,19,+,protein_coding,no,ribosomal protein S5
BTG1,1.37E-49,-1.182634704,0.822,0.976,5.21E-45,-0.154,12.95569433,30.67816149,ENSG00000133639,12,-,protein_coding,no,BTG anti-proliferation factor 1
CALR,6.93E-49,-1.54401097,0.291,0.692,2.64E-44,-0.401,1.043921003,4.960157303,ENSG00000179218,19,+,protein_coding,no,calreticulin
GAPDH,3.28E-48,-1.352506246,0.518,0.851,1.25E-43,-0.333,3.401315935,10.2389954,ENSG00000111640,12,+,protein_coding,yes,glyceraldehyde-3-phosphate dehydrogenase
RPL22,9.62E-48,-1.014757761,0.629,0.952,3.67E-43,-0.323,7.066824835,15.29953261,ENSG00000116251,1,-,protein_coding,no,ribosomal protein L22
ATP5F1E,1.64E-47,-1.075363614,0.632,0.962,6.27E-43,-0.33,8.007992719,17.9821207,ENSG00000124172,20,-,protein_coding,no,ATP synthase F1 subunit epsilon
S100A10,9.70E-47,-1.496265287,0.442,0.796,3.70E-42,-0.354,2.233008128,8.120686525,ENSG00000197747,1,-,protein_coding,no,S100 calcium binding protein A10
RPL38,3.01E-46,-0.97205856,0.681,0.982,1.15E-41,-0.301,14.34474769,29.1008345,ENSG00000172809,17,+,protein_coding,no,ribosomal protein L38
HSPD1,3.77E-46,-1.329821765,0.482,0.865,1.44E-41,-0.383,5.48529345,15.30218707,ENSG00000144381,2,-,protein_coding,yes,heat shock protein family D (Hsp60) member 1
RPS14,4.34E-46,-0.905342718,0.696,0.987,1.65E-41,-0.291,20.64863813,39.54766925,ENSG00000164587,5,-,protein_coding,no,ribosomal protein S14
RPS26,5.76E-46,-1.04288439,0.644,0.967,2.20E-41,-0.323,11.44819085,24.64754032,ENSG00000197728,12,+,protein_coding,no,ribosomal protein S26
MT-RNR1,6.86E-46,0.718733821,1,0.998,2.62E-41,0.002,392.1838808,237.9105158,NA,NA,NA,NA,NA,NA
LITAF,1.27E-45,-1.570642741,0.227,0.645,4.85E-41,-0.418,0.832596452,4.443489868,ENSG00000189067,16,-,protein_coding,yes,lipopolysaccharide induced TNF factor
RPL12,3.76E-44,-0.945523362,0.653,0.959,1.44E-39,-0.306,9.427508118,19.08220658,ENSG00000197958,9,-,protein_coding,no,ribosomal protein L12
RPL21,3.78E-44,-0.920240057,0.666,0.97,1.44E-39,-0.304,14.34950718,28.04787029,ENSG00000122026,13,+,protein_coding,no,ribosomal protein L21
BRD2,1.19E-43,-1.254923498,0.353,0.76,4.54E-39,-0.407,1.583214312,5.164957023,ENSG00000204256,6,+,protein_coding,no,bromodomain containing 2
CALM2,3.95E-43,-1.255918184,0.288,0.697,1.51E-38,-0.409,1.154386459,4.145086212,ENSG00000143933,2,-,protein_coding,yes,calmodulin 2
TUBB4B,5.60E-43,-1.514907658,0.227,0.65,2.14E-38,-0.423,0.910935076,4.461080495,ENSG00000188229,9,+,protein_coding,no,tubulin beta 4B class IVb
SNHG8,5.89E-43,-1.362587437,0.294,0.725,2.25E-38,-0.431,1.46215204,5.33132428,ENSG00000269893,4,+,lncRNA,no,small nucleolar RNA host gene 8
MYL6,8.29E-43,-1.009235029,0.598,0.88,3.16E-38,-0.282,4.245423104,9.55821597,ENSG00000092841,12,+,protein_coding,no,myosin light chain 6
RPS13,8.51E-43,-0.915406808,0.613,0.964,3.25E-38,-0.351,10.06213656,19.864305,ENSG00000110700,11,-,protein_coding,no,ribosomal protein S13
SKP1,1.02E-42,-1.173871277,0.38,0.737,3.87E-38,-0.357,1.385012545,4.380976969,ENSG00000113558,5,-,protein_coding,no,S-phase kinase associated protein 1
DUSP2,1.49E-42,-1.452666916,0.383,0.763,5.70E-38,-0.38,2.356312634,8.186682842,ENSG00000158050,2,-,protein_coding,no,dual specificity phosphatase 2
ATP1B3,1.65E-42,-1.957921559,0.156,0.568,6.30E-38,-0.412,0.551092821,5.026024679,ENSG00000069849,3,+,protein_coding,yes,ATPase Na+/K+ transporting subunit beta 3
LINC00861,2.26E-42,1.311180249,0.463,0.145,8.63E-38,0.318,2.68373543,0.484512458,ENSG00000245164,8,-,lncRNA,no,long intergenic non-protein coding RNA 861
UQCRB,3.63E-42,-1.029358756,0.543,0.883,1.38E-37,-0.34,3.522758654,8.231478769,ENSG00000156467,8,-,protein_coding,no,ubiquinol-cytochrome c reductase binding protein
RPL5,4.07E-42,-0.895530127,0.656,0.959,1.55E-37,-0.303,8.81445869,17.25777209,ENSG00000122406,1,+,protein_coding,no,ribosomal protein L5
TPT1,1.03E-41,-0.8245703,0.813,0.994,3.93E-37,-0.181,34.72556098,62.27023547,ENSG00000133112,13,-,protein_coding,no,"tumor protein, translationally-controlled 1"
RPL36AL,1.30E-41,-0.955485282,0.525,0.887,4.97E-37,-0.362,3.91729718,8.535779193,ENSG00000165502,14,-,protein_coding,yes,ribosomal protein L36a like
RPS6,1.74E-41,-0.880999053,0.712,0.978,6.64E-37,-0.266,13.88372753,26.41061957,ENSG00000137154,9,-,protein_coding,no,ribosomal protein S6
ARHGDIB,2.66E-41,-1.183974577,0.506,0.795,1.02E-36,-0.289,2.386422469,6.694014471,ENSG00000111348,12,-,protein_coding,no,Rho GDP dissociation inhibitor beta
HSP90AA1,6.44E-41,-0.777399487,0.853,0.99,2.46E-36,-0.137,42.10256084,72.87944731,ENSG00000080824,14,-,protein_coding,yes,heat shock protein 90 alpha family class A member 1
GPR183,7.72E-41,-2.18066221,0.052,0.457,2.94E-36,-0.405,0.18562067,4.375148879,ENSG00000169508,13,-,protein_coding,yes,G protein-coupled receptor 183
NPM1,7.73E-41,-1.086527833,0.448,0.786,2.95E-36,-0.338,2.288269833,5.983046228,ENSG00000181163,5,+,protein_coding,no,nucleophosmin 1
EEF1B2,1.67E-40,-0.932006061,0.549,0.906,6.36E-36,-0.357,5.11936588,10.6753041,ENSG00000114942,2,+,protein_coding,no,eukaryotic translation elongation factor 1 beta 2
SLFN12L,2.65E-40,1.166132828,0.457,0.144,1.01E-35,0.313,2.29182753,0.466885153,ENSG00000205045,17,-,protein_coding,no,schlafen family member 12 like
DYNLL1,6.40E-40,-1.219144959,0.359,0.729,2.44E-35,-0.37,1.788291975,5.491386239,ENSG00000088986,12,+,protein_coding,yes,dynein light chain LC8-type 1
HIST2H2BF,8.33E-40,1.038636996,0.273,0.042,3.18E-35,0.231,1.298022311,0.118647742,ENSG00000203814,1,-,protein_coding,no,H2B clustered histone 18
TXK,1.12E-39,1.213171789,0.347,0.077,4.25E-35,0.27,2.072211666,0.325104216,ENSG00000074966,4,-,protein_coding,yes,TXK tyrosine kinase
UBB,2.33E-39,-1.243726625,0.494,0.816,8.88E-35,-0.322,4.128866672,11.14564072,ENSG00000170315,17,+,protein_coding,yes,ubiquitin B
RPL35A,3.81E-39,-0.832478447,0.663,0.978,1.45E-34,-0.315,16.06112491,29.38146038,ENSG00000182899,3,+,protein_coding,no,ribosomal protein L35a
DDX21,4.38E-39,-1.329328396,0.279,0.67,1.67E-34,-0.391,1.070850996,4.203751782,ENSG00000165732,10,+,protein_coding,no,DExD-box helicase 21
METRNL,5.94E-39,-1.663136767,0.147,0.538,2.27E-34,-0.391,0.504643731,3.765272424,ENSG00000176845,17,+,protein_coding,no,"meteorin like, glial cell differentiation regulator"
RPS20,6.97E-39,-0.863330566,0.647,0.942,2.66E-34,-0.295,7.924030875,15.23489412,ENSG00000008988,8,-,protein_coding,no,ribosomal protein S20
HLA-A,8.73E-39,-0.924690885,0.822,0.962,3.33E-34,-0.14,10.0546606,19.98481316,ENSG00000206503,6,+,protein_coding,yes,"major histocompatibility complex, class I, A"
HLA-A,8.73E-39,-0.924690885,0.822,0.962,3.33E-34,-0.14,10.0546606,19.98481316,ENSG00000206503,6,+,protein_coding,yes,"major histocompatibility complex, class I, A"
SRSF2,9.48E-39,-1.293453317,0.285,0.663,3.62E-34,-0.378,1.066302958,4.064799337,ENSG00000161547,17,-,protein_coding,no,serine and arginine rich splicing factor 2
TRAF3IP3,1.14E-38,1.07761577,0.466,0.159,4.35E-34,0.307,2.07385551,0.456427192,ENSG00000009790,1,+,protein_coding,no,TRAF3 interacting protein 3
ZNF331,1.58E-38,-1.368824095,0.092,0.505,6.03E-34,-0.413,0.745685469,3.508406927,ENSG00000130844,19,+,protein_coding,no,zinc finger protein 331
TTN,2.21E-38,1.049839291,0.218,0.023,8.44E-34,0.195,1.287210038,0.104772693,ENSG00000155657,2,-,protein_coding,no,titin
SYAP1,2.64E-38,-1.423672125,0.178,0.578,1.01E-33,-0.4,0.667789675,3.474137167,ENSG00000169895,X,+,protein_coding,no,synapse associated protein 1
RPL36,5.00E-38,-0.865468147,0.669,0.974,1.91E-33,-0.305,16.57084382,31.01286116,ENSG00000130255,19,+,protein_coding,no,ribosomal protein L36
HSPA6,5.08E-38,2.428242964,0.466,0.164,1.94E-33,0.302,16.40271413,2.233277777,ENSG00000173110,1,+,protein_coding,yes,heat shock protein family A (Hsp70) member 6
DNAJB6,6.88E-38,-1.115433683,0.374,0.769,2.62E-33,-0.395,1.956522742,5.405605978,ENSG00000105993,7,+,protein_coding,no,DnaJ heat shock protein family (Hsp40) member B6
DDX17,8.18E-38,1.312594173,0.764,0.526,3.12E-33,0.238,7.187657051,2.296320454,ENSG00000100201,22,-,protein_coding,no,DEAD-box helicase 17
RPL41,1.36E-37,-0.805235034,0.767,0.992,5.18E-33,-0.225,40.58150371,71.66078568,ENSG00000229117,12,+,protein_coding,no,ribosomal protein L41
MYADM,4.45E-37,-1.364983831,0.184,0.586,1.70E-32,-0.402,0.793610596,3.619864496,ENSG00000179820,19,+,protein_coding,yes,myeloid associated differentiation marker
RPS2,7.33E-37,-0.8309209,0.724,0.979,2.80E-32,-0.255,16.3224022,29.81344337,ENSG00000140988,16,-,protein_coding,no,ribosomal protein S2
RPL4,1.66E-36,-0.974916585,0.549,0.82,6.34E-32,-0.271,3.189309524,7.234203281,ENSG00000174444,15,-,protein_coding,no,ribosomal protein L4
MCL1,1.95E-36,-1.181225535,0.414,0.748,7.45E-32,-0.334,2.131495694,6.101271817,ENSG00000143384,1,-,protein_coding,no,"MCL1 apoptosis regulator, BCL2 family member"
RPLP2,7.56E-36,-0.787792137,0.724,0.987,2.88E-31,-0.263,19.57157005,34.51538298,ENSG00000177600,11,+,protein_coding,no,ribosomal protein lateral stalk subunit P2
RPL32,8.07E-36,-0.789861623,0.748,0.983,3.08E-31,-0.235,21.32461754,37.59722381,ENSG00000144713,3,-,protein_coding,no,ribosomal protein L32
NCL,3.70E-35,-1.031251449,0.485,0.787,1.41E-30,-0.302,2.341852057,5.830065037,ENSG00000115053,2,-,protein_coding,no,nucleolin
RPL10A,7.09E-35,-0.812356484,0.58,0.934,2.70E-30,-0.354,7.402052045,13.75465422,ENSG00000198755,6,+,protein_coding,no,ribosomal protein L10a
SRP14,7.14E-35,-0.861485973,0.515,0.844,2.72E-30,-0.329,3.015812421,6.296364766,ENSG00000140319,15,-,protein_coding,no,signal recognition particle 14
MYBL1,1.34E-34,1.276330889,0.445,0.161,5.12E-30,0.284,2.676065523,0.517642086,ENSG00000185697,8,-,protein_coding,no,MYB proto-oncogene like 1
NR4A2,3.64E-34,-1.342738066,0.107,0.498,1.39E-29,-0.391,0.668121332,3.230893277,ENSG00000153234,2,-,protein_coding,no,nuclear receptor subfamily 4 group A member 2
SERBP1,3.67E-34,-1.047769063,0.353,0.701,1.40E-29,-0.348,1.324939925,3.806419269,ENSG00000142864,1,-,protein_coding,yes,SERPINE1 mRNA binding protein 1
EIF3J,7.19E-34,-1.15300054,0.236,0.633,2.74E-29,-0.397,1.024501376,3.502003454,ENSG00000104131,15,+,protein_coding,no,eukaryotic translation initiation factor 3 subunit J
MALAT1,9.61E-34,0.50532066,0.997,0.999,3.66E-29,-0.002,1107.356763,779.8415222,ENSG00000251562,11,+,lncRNA,no,metastasis associated lung adenocarcinoma transcript 1
TAGLN2,1.04E-33,-1.228633434,0.258,0.609,3.95E-29,-0.351,1.001562981,3.690560881,ENSG00000158710,1,-,protein_coding,no,transgelin 2
MUC20-OT1,1.44E-33,1.160855563,0.436,0.161,5.48E-29,0.275,2.258804191,0.457491133,ENSG00000242086,3,+,lncRNA,no,MUC20 overlapping transcript
CYCS,1.84E-33,-0.977617622,0.276,0.665,7.01E-29,-0.389,1.463813521,3.851768412,ENSG00000172115,7,-,protein_coding,no,"cytochrome c, somatic"
IL32,4.41E-33,-1.020509274,0.512,0.847,1.68E-28,-0.335,5.910718493,13.01932502,ENSG00000008517,16,+,protein_coding,no,interleukin 32
HSPB1,5.60E-33,1.505361525,0.687,0.431,2.14E-28,0.256,9.092865617,2.555130256,ENSG00000106211,7,+,protein_coding,yes,heat shock protein family B (small) member 1
CD3D,6.01E-33,-1.190256993,0.236,0.616,2.29E-28,-0.38,1.139258099,3.881645545,ENSG00000167286,11,-,protein_coding,yes,CD3d molecule
RPL9,9.22E-33,-0.732048277,0.693,0.972,3.52E-28,-0.279,12.6850615,21.73082733,ENSG00000163682,4,-,protein_coding,no,ribosomal protein L9
SUB1,1.14E-32,-0.961186745,0.402,0.722,4.33E-28,-0.32,1.682527801,4.222642194,ENSG00000113387,5,+,protein_coding,no,SUB1 regulator of transcription
ATM,1.19E-32,1.296499728,0.623,0.327,4.53E-28,0.296,4.406624776,1.201105823,ENSG00000149311,11,+,protein_coding,no,ATM serine/threonine kinase
RAN,1.23E-32,-1.135484213,0.212,0.559,4.70E-28,-0.347,0.618576212,2.55588708,ENSG00000132341,12,+,protein_coding,no,"RAN, member RAS oncogene family"
RPS8,1.40E-32,-0.799858563,0.767,0.982,5.35E-28,-0.215,18.61553666,33.14928494,ENSG00000142937,1,+,protein_coding,no,ribosomal protein S8
RPS27A,1.80E-32,-0.733313079,0.727,0.985,6.87E-28,-0.258,24.59071019,41.54333891,ENSG00000143947,2,+,protein_coding,yes,ribosomal protein S27a
B2M,1.96E-32,-0.683440697,0.96,0.995,7.49E-28,-0.035,52.17431829,84.39610861,ENSG00000166710,15,+,protein_coding,yes,beta-2-microglobulin
RPS15A,5.68E-32,-0.746861757,0.706,0.979,2.17E-27,-0.273,23.5953558,40.27441258,ENSG00000134419,16,-,protein_coding,no,ribosomal protein S15a
TSC22D3,1.05E-31,-1.333658925,0.528,0.771,3.99E-27,-0.243,2.875302363,8.767354119,ENSG00000157514,X,-,protein_coding,no,TSC22 domain family member 3
LDHA,1.62E-31,-1.196778745,0.215,0.553,6.16E-27,-0.338,0.66583475,2.818547681,ENSG00000134333,11,+,protein_coding,no,lactate dehydrogenase A
RPS25,2.90E-31,-0.709122459,0.727,0.974,1.11E-26,-0.247,16.18528857,27.09467159,ENSG00000118181,11,-,protein_coding,no,ribosomal protein S25
RPL28,3.39E-31,-0.703678961,0.804,0.988,1.29E-26,-0.184,25.51189658,42.17867106,ENSG00000108107,19,+,protein_coding,no,ribosomal protein L28
JPT1,5.68E-31,-1.118072863,0.141,0.493,2.17E-26,-0.352,0.418915135,2.079852304,ENSG00000189159,17,-,protein_coding,no,Jupiter microtubule associated homolog 1
FAM177A1,6.06E-31,-1.179031258,0.181,0.535,2.31E-26,-0.354,0.60057376,2.624094113,ENSG00000151327,14,+,protein_coding,no,family with sequence similarity 177 member A1
UBL5,1.76E-30,-0.915589139,0.396,0.738,6.72E-26,-0.342,1.767527366,4.220495412,ENSG00000198258,19,+,protein_coding,no,ubiquitin like 5
CHCHD2,2.89E-30,-1.028834984,0.368,0.672,1.10E-25,-0.304,1.373193283,3.842206444,ENSG00000106153,7,-,protein_coding,no,coiled-coil-helix-coiled-coil-helix domain containing 2
RCSD1,3.09E-30,0.832969418,0.359,0.108,1.18E-25,0.251,1.372093943,0.33162857,ENSG00000198771,1,+,protein_coding,no,RCSD domain containing 1
RPS17,3.62E-30,-0.898598003,0.322,0.681,1.38E-25,-0.359,1.436313174,3.541905213,ENSG00000182774,15,-,protein_coding,no,ribosomal protein S17
CFLAR,1.37E-29,1.103988252,0.629,0.358,5.23E-25,0.271,4.07747733,1.362187757,ENSG00000003402,2,+,protein_coding,no,CASP8 and FADD like apoptosis regulator
GOLGA8B,2.10E-29,1.025196023,0.417,0.157,7.99E-25,0.26,1.993176007,0.470677678,ENSG00000215252,15,-,protein_coding,no,golgin A8 family member B
SLC25A3,3.52E-29,-1.020953385,0.267,0.598,1.34E-24,-0.331,0.978886572,3.015674424,ENSG00000075415,12,+,protein_coding,no,solute carrier family 25 member 3
ANKRD36C,4.45E-29,1.020668345,0.325,0.097,1.70E-24,0.228,1.57521953,0.269294709,ENSG00000174501,2,-,protein_coding,no,ankyrin repeat domain 36C
RPS18,7.76E-29,-0.719103773,0.73,0.985,2.96E-24,-0.255,27.55856729,46.01194528,ENSG00000231500,6,+,protein_coding,no,ribosomal protein S18
RPLP0,9.39E-29,-0.831542173,0.632,0.872,3.58E-24,-0.24,5.059143199,9.782770286,ENSG00000089157,12,-,protein_coding,no,ribosomal protein lateral stalk subunit P0
POLR2L,1.51E-28,-0.991143096,0.347,0.66,5.77E-24,-0.313,1.25778833,3.487939831,ENSG00000177700,11,-,protein_coding,no,RNA polymerase II subunit L
RPL24,1.74E-28,-0.665921151,0.696,0.971,6.63E-24,-0.275,11.52064312,18.86501412,ENSG00000114391,3,-,protein_coding,no,ribosomal protein L24
NACA,2.22E-28,-0.674402888,0.647,0.943,8.46E-24,-0.296,7.576651947,12.68778846,ENSG00000196531,12,-,protein_coding,no,nascent polypeptide associated complex subunit alpha
SNRPB2,2.28E-28,-1.031530757,0.129,0.472,8.69E-24,-0.343,0.400397823,1.862682126,ENSG00000125870,20,+,protein_coding,no,small nuclear ribonucleoprotein polypeptide B2
RPL10,2.85E-28,-0.696973279,0.761,0.989,1.09E-23,-0.228,35.25574519,57.7741963,ENSG00000147403,X,+,protein_coding,no,ribosomal protein L10
KANSL1-AS1,2.86E-28,0.495090214,0.169,0.02,1.09E-23,0.149,0.463212413,0.038174534,ENSG00000214401,17,+,lncRNA,no,KANSL1 antisense RNA 1
UTRN,3.40E-28,1.173887803,0.54,0.276,1.30E-23,0.264,3.536656478,1.010761008,ENSG00000152818,6,+,protein_coding,yes,utrophin
SARAF,3.95E-28,-1.178927704,0.546,0.748,1.51E-23,-0.202,2.660541265,7.28777417,ENSG00000133872,8,-,protein_coding,no,store-operated calcium entry associated regulatory factor
