gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,delta.pct,exp.group1,exp.group2,ensembl_id,chromosome,strand,gene_biotype,membrane_protein,description
ATF3,2.03E-178,-1.79624794,0.233,0.784,7.74E-174,-0.551,1.257549073,6.840824062,ENSG00000162772,1,+,protein_coding,no,activating transcription factor 3
JUND,5.82E-177,-1.917671202,0.787,0.914,2.22E-172,-0.127,4.591796016,20.12651556,ENSG00000130522,19,-,protein_coding,no,"JunD proto-oncogene, AP-1 transcription factor subunit"
JUNB,3.76E-175,-1.897984346,0.536,0.864,1.43E-170,-0.328,4.307292893,18.77986281,ENSG00000171223,19,+,protein_coding,no,"JunB proto-oncogene, AP-1 transcription factor subunit"
EGR1,3.32E-173,-1.901378345,0.38,0.851,1.27E-168,-0.471,3.169933009,14.57761596,ENSG00000120738,5,+,protein_coding,no,early growth response 1
RDH10,2.41E-171,-1.869579822,0.389,0.81,9.21E-167,-0.421,0.671151939,5.106825957,ENSG00000121039,8,+,protein_coding,no,retinol dehydrogenase 10
CDKN1A,8.03E-168,-1.748393088,0.194,0.704,3.06E-163,-0.51,0.356810411,3.558667647,ENSG00000124762,6,+,protein_coding,no,cyclin dependent kinase inhibitor 1A
GPRC5A,1.97E-166,-1.8832465,0.101,0.636,7.52E-162,-0.535,0.14194862,3.212697255,ENSG00000013588,12,+,protein_coding,yes,G protein-coupled receptor class C group 5 member A
MCL1,1.23E-160,-1.529944253,0.577,0.831,4.68E-156,-0.254,1.21051632,5.383411435,ENSG00000143384,1,-,protein_coding,no,"MCL1 apoptosis regulator, BCL2 family member"
SLC2A3,2.22E-160,-1.490405038,0.278,0.738,8.46E-156,-0.46,0.399287565,2.931548131,ENSG00000059804,12,-,protein_coding,yes,solute carrier family 2 member 3
SOCS3,3.33E-160,-1.558136721,0.247,0.74,1.27E-155,-0.493,0.772269183,4.218859155,ENSG00000184557,17,-,protein_coding,no,suppressor of cytokine signaling 3
NR4A1,1.14E-159,-1.924113037,0.28,0.755,4.33E-155,-0.475,1.007477924,6.618448171,ENSG00000123358,12,+,protein_coding,no,nuclear receptor subfamily 4 group A member 1
GEM,3.35E-158,-2.087806488,0.288,0.715,1.28E-153,-0.427,0.416793003,5.022804708,ENSG00000164949,8,-,protein_coding,yes,GTP binding protein overexpressed in skeletal muscle
MIDN,3.26E-157,-1.415655618,0.44,0.795,1.24E-152,-0.355,0.708544871,3.558072132,ENSG00000167470,19,+,protein_coding,no,midnolin
PPP1R15A,8.76E-156,-1.517625831,0.396,0.802,3.34E-151,-0.406,1.428764274,5.954025249,ENSG00000087074,19,+,protein_coding,no,protein phosphatase 1 regulatory subunit 15A
BTG1,1.26E-151,-1.325864591,0.735,0.903,4.81E-147,-0.168,2.977996908,8.972164942,ENSG00000133639,12,-,protein_coding,no,BTG anti-proliferation factor 1
FOS,2.61E-149,-1.556405365,0.423,0.862,9.97E-145,-0.439,6.738984162,21.76190772,ENSG00000170345,14,+,protein_coding,no,"Fos proto-oncogene, AP-1 transcription factor subunit"
TRIB1,5.19E-149,-1.455716521,0.116,0.612,1.98E-144,-0.496,0.135824128,2.115483303,ENSG00000173334,8,+,protein_coding,no,tribbles pseudokinase 1
RND3,6.95E-147,-1.812362887,0.494,0.799,2.65E-142,-0.305,1.124149508,6.460375264,ENSG00000115963,2,-,protein_coding,no,Rho family GTPase 3
PABPC1,8.14E-144,-1.128016276,0.71,0.885,3.10E-139,-0.175,2.05996648,5.687801955,ENSG00000070756,8,-,protein_coding,no,poly(A) binding protein cytoplasmic 1
JUN,2.54E-143,-1.448750365,0.647,0.897,9.68E-139,-0.25,7.774952865,22.95312099,ENSG00000177606,1,-,protein_coding,no,"Jun proto-oncogene, AP-1 transcription factor subunit"
H3F3B,2.76E-143,-1.264619362,0.882,0.954,1.05E-138,-0.072,7.660153785,19.8072155,ENSG00000132475,17,-,protein_coding,no,H3.3 histone B
SEMA4A,4.01E-140,-1.183466818,0.033,0.524,1.53E-135,-0.491,0.032642836,1.345358021,ENSG00000196189,1,+,protein_coding,yes,semaphorin 4A
SAT1,4.62E-140,-1.451567726,0.776,0.918,1.76E-135,-0.142,3.76126344,12.02229825,ENSG00000130066,X,+,protein_coding,no,spermidine/spermine N1-acetyltransferase 1
CSRNP1,7.89E-137,-1.22745559,0.101,0.58,3.01E-132,-0.479,0.118376255,1.618718937,ENSG00000144655,3,-,protein_coding,no,cysteine and serine rich nuclear protein 1
GADD45B,9.35E-136,-1.512709454,0.611,0.869,3.57E-131,-0.258,2.658292642,9.438770848,ENSG00000099860,19,+,protein_coding,no,growth arrest and DNA damage inducible beta
MAFF,1.61E-133,-1.327498305,0.217,0.675,6.15E-129,-0.458,0.593603497,2.999420635,ENSG00000185022,22,+,protein_coding,no,MAF bZIP transcription factor F
KDM6B,1.36E-130,-1.651926462,0.179,0.61,5.18E-126,-0.431,0.197874563,2.764356607,ENSG00000132510,17,+,protein_coding,no,lysine demethylase 6B
IER3,4.49E-130,-1.80189021,0.212,0.649,1.71E-125,-0.437,0.404844661,3.898366853,ENSG00000137331,6,-,protein_coding,no,immediate early response 3
KCNQ1OT1,6.58E-130,-1.794519459,0.583,0.835,2.51E-125,-0.252,2.300224366,10.44847529,ENSG00000269821,11,-,lncRNA,no,KCNQ1 opposite strand/antisense transcript 1
POLR2A,1.75E-129,-1.025820735,0.316,0.714,6.68E-125,-0.398,0.413163294,1.877366345,ENSG00000181222,17,+,protein_coding,no,RNA polymerase II subunit A
HMOX1,2.59E-129,-2.160889629,0.206,0.631,9.89E-125,-0.425,0.265302557,4.658313181,ENSG00000100292,22,+,protein_coding,no,heme oxygenase 1
RBBP6,8.75E-129,-1.405520656,0.516,0.773,3.34E-124,-0.257,0.854580523,3.913031757,ENSG00000122257,16,+,protein_coding,no,"RB binding protein 6, ubiquitin ligase"
SRSF3,5.18E-128,-1.019399055,0.622,0.841,1.97E-123,-0.219,1.284535449,3.630923369,ENSG00000112081,6,+,protein_coding,no,serine and arginine rich splicing factor 3
EMP1,2.47E-126,-1.78511423,0.675,0.846,9.43E-122,-0.171,2.146646066,9.844781975,ENSG00000134531,12,+,protein_coding,yes,epithelial membrane protein 1
YBX3,2.78E-126,-1.212461759,0.783,0.904,1.06E-121,-0.121,2.84019649,7.898991755,ENSG00000060138,12,-,protein_coding,no,Y-box binding protein 3
SERTAD1,1.10E-125,-1.625457035,0.294,0.681,4.19E-121,-0.387,0.495416151,3.613955389,ENSG00000197019,19,-,protein_coding,no,SERTA domain containing 1
WTAP,1.75E-125,-1.506048968,0.482,0.747,6.67E-121,-0.265,0.633619952,3.639988918,ENSG00000146457,6,+,protein_coding,no,WT1 associated protein
CEBPB,2.09E-125,-1.332872662,0.783,0.876,7.97E-121,-0.093,3.598163016,10.58294558,ENSG00000172216,20,+,protein_coding,no,CCAAT enhancer binding protein beta
NR4A3,1.98E-123,-1.432321637,0.078,0.529,7.57E-119,-0.451,0.099063247,1.966159232,ENSG00000119508,9,+,protein_coding,no,nuclear receptor subfamily 4 group A member 3
NFKBIZ,8.40E-123,-1.549719814,0.25,0.677,3.20E-118,-0.427,0.49785139,3.385113873,ENSG00000144802,3,+,protein_coding,no,NFKB inhibitor zeta
DUSP1,7.15E-122,-1.384358462,0.495,0.812,2.73E-117,-0.317,1.910731659,6.598635135,ENSG00000120129,5,-,protein_coding,no,dual specificity phosphatase 1
SLC39A14,1.53E-118,-1.267896416,0.29,0.666,5.85E-114,-0.376,0.280814525,2.084331835,ENSG00000104635,8,+,protein_coding,yes,solute carrier family 39 member 14
UBC,3.77E-118,-1.420712327,0.9,0.941,1.44E-113,-0.041,9.063125997,25.94076576,ENSG00000150991,12,-,protein_coding,yes,ubiquitin C
ADM,1.62E-116,-1.378981709,0.445,0.798,6.19E-112,-0.353,1.739137333,6.124077988,ENSG00000148926,11,+,protein_coding,no,adrenomedullin
AMD1,7.31E-116,-1.115430054,0.517,0.772,2.79E-111,-0.255,0.799173324,2.898081433,ENSG00000123505,6,+,protein_coding,no,adenosylmethionine decarboxylase 1
CCNL1,2.43E-114,-1.17670328,0.567,0.831,9.26E-110,-0.264,1.301705031,4.203225526,ENSG00000163660,3,-,protein_coding,no,cyclin L1
SLC38A2,5.00E-114,-1.136638757,0.647,0.823,1.91E-109,-0.176,1.401421856,4.279962269,ENSG00000134294,12,-,protein_coding,yes,solute carrier family 38 member 2
TXNIP,7.96E-114,1.419350128,0.895,0.729,3.04E-109,0.166,9.673281208,2.990533757,ENSG00000265972,1,-,protein_coding,no,thioredoxin interacting protein
INTS6,1.29E-113,-1.505963375,0.496,0.779,4.91E-109,-0.283,0.906231373,4.413968958,ENSG00000102786,13,-,protein_coding,no,integrator complex subunit 6
DDX3X,6.21E-113,-1.077403148,0.594,0.806,2.37E-108,-0.212,1.129955541,3.494705108,ENSG00000215301,X,+,protein_coding,yes,DEAD-box helicase 3 X-linked
LMNA,1.04E-112,-1.916280934,0.696,0.815,3.95E-108,-0.119,1.570371331,8.70183557,ENSG00000160789,1,+,protein_coding,no,lamin A/C
IRF1,5.82E-112,-1.309989624,0.302,0.685,2.22E-107,-0.383,0.794546549,3.449394351,ENSG00000125347,5,-,protein_coding,no,interferon regulatory factor 1
IER2,1.91E-110,-1.075513849,0.375,0.748,7.28E-106,-0.373,1.652730841,4.590557462,ENSG00000160888,19,+,protein_coding,no,immediate early response 2
ZFP36L1,2.16E-110,-1.294728845,0.757,0.88,8.26E-106,-0.123,2.762077977,8.229539051,ENSG00000185650,14,-,protein_coding,no,ZFP36 ring finger protein like 1
PTGS2,3.50E-110,-1.692206825,0.165,0.578,1.34E-105,-0.413,0.358567301,3.390218853,ENSG00000073756,1,-,protein_coding,no,prostaglandin-endoperoxide synthase 2
KLF10,5.36E-110,-1.07935869,0.202,0.603,2.05E-105,-0.401,0.205581734,1.547510607,ENSG00000155090,8,-,protein_coding,no,Kruppel like factor 10
DNAJB1,1.60E-109,-0.784289492,0.518,0.824,6.11E-105,-0.306,5.321539075,9.887232292,ENSG00000132002,19,-,protein_coding,no,DnaJ heat shock protein family (Hsp40) member B1
NFIL3,1.84E-108,-1.188368144,0.211,0.6,7.01E-104,-0.389,0.24020909,1.826372296,ENSG00000165030,9,-,protein_coding,no,"nuclear factor, interleukin 3 regulated"
TUBB4B,3.76E-108,-1.454430359,0.53,0.742,1.43E-103,-0.212,0.883085881,4.160565465,ENSG00000188229,9,+,protein_coding,no,tubulin beta 4B class IVb
MAT2A,3.80E-107,-1.484765803,0.463,0.715,1.45E-102,-0.252,0.671194362,3.677200688,ENSG00000168906,2,+,protein_coding,no,methionine adenosyltransferase 2A
PTN,3.36E-106,1.455858481,0.819,0.619,1.28E-101,0.2,7.627660108,2.145110838,ENSG00000105894,7,-,protein_coding,yes,pleiotrophin
HSPA8,2.07E-104,-1.479007081,0.7,0.851,7.91E-100,-0.151,3.218739262,10.76002324,ENSG00000109971,11,-,protein_coding,yes,heat shock protein family A (Hsp70) member 8
DUSP5,3.85E-104,-1.012612894,0.085,0.486,1.47E-99,-0.401,0.100094677,1.219509042,ENSG00000138166,10,+,protein_coding,no,dual specificity phosphatase 5
SLC25A44,1.51E-102,-1.031917799,0.073,0.466,5.76E-98,-0.393,0.057765826,1.162856681,ENSG00000160785,1,+,protein_coding,no,solute carrier family 25 member 44
CYR61,7.73E-102,-1.25219781,0.286,0.688,2.95E-97,-0.402,1.238300186,4.331721206,ENSG00000142871,1,+,protein_coding,no,cellular communication network factor 1
APOE,1.56E-101,1.463471089,0.735,0.415,5.97E-97,0.32,9.220561446,2.706176159,ENSG00000130203,19,+,protein_coding,yes,apolipoprotein E
PTMA,1.23E-99,-0.857148524,0.947,0.992,4.71E-95,-0.045,24.33630572,44.89556359,ENSG00000187514,2,+,protein_coding,no,prothymosin alpha
MYADM,3.03E-99,-1.497240409,0.41,0.676,1.15E-94,-0.266,0.561209331,3.407328401,ENSG00000179820,19,+,protein_coding,yes,myeloid associated differentiation marker
PHLDA1,1.56E-98,-0.956339322,0.186,0.573,5.97E-94,-0.387,0.239925892,1.405927581,ENSG00000139289,12,-,protein_coding,no,pleckstrin homology like domain family A member 1
C11orf96,2.09E-98,-2.342326513,0.355,0.683,7.99E-94,-0.328,2.297095278,15.72022192,ENSG00000187479,11,+,protein_coding,no,chromosome 11 open reading frame 96
AC104581.4,3.79E-98,-0.835022072,0.036,0.42,1.44E-93,-0.384,0.031948058,0.840875971,ENSG00000280046,17,+,TEC,no,TEC
EGR3,1.14E-97,-0.94447938,0.066,0.455,4.36E-93,-0.389,0.084069052,1.086284684,ENSG00000179388,8,-,protein_coding,no,early growth response 3
NFATC1,1.30E-97,-0.954648632,0.071,0.451,4.95E-93,-0.38,0.056574379,1.047754782,ENSG00000131196,18,+,protein_coding,no,nuclear factor of activated T cells 1
SRSF2,8.06E-97,-1.031703034,0.486,0.727,3.07E-92,-0.241,0.699806062,2.475145028,ENSG00000161547,17,-,protein_coding,no,serine and arginine rich splicing factor 2
PPP1R10,1.25E-95,-0.993292597,0.337,0.662,4.78E-91,-0.325,0.366782976,1.720886507,ENSG00000204569,6,-,protein_coding,no,protein phosphatase 1 regulatory subunit 10
ERRFI1,2.90E-95,-1.166020874,0.483,0.727,1.11E-90,-0.244,0.806143551,3.052840605,ENSG00000116285,1,-,protein_coding,no,ERBB receptor feedback inhibitor 1
SOX4,1.25E-94,-1.091083899,0.57,0.818,4.76E-90,-0.248,1.602001767,4.543149204,ENSG00000124766,6,+,protein_coding,no,SRY-box transcription factor 4
MT2A,8.92E-94,-1.868561398,0.739,0.908,3.40E-89,-0.169,9.643431472,37.86643417,ENSG00000125148,16,+,protein_coding,no,metallothionein 2A
HSPH1,1.29E-93,-0.917084419,0.449,0.751,4.92E-89,-0.302,1.855551866,4.392125248,ENSG00000120694,13,-,protein_coding,no,heat shock protein family H (Hsp110) member 1
HSPA5,8.80E-93,-1.515802227,0.725,0.839,3.36E-88,-0.114,2.981706354,10.38599965,ENSG00000044574,9,-,protein_coding,yes,heat shock protein family A (Hsp70) member 5
SULT1C4,3.49E-91,0.289515179,0.272,0.032,1.33E-86,0.24,0.263935012,0.034122509,ENSG00000198075,2,+,protein_coding,no,sulfotransferase family 1C member 4
HEXIM1,5.93E-91,-1.246666151,0.373,0.644,2.26E-86,-0.271,0.410821843,2.347773604,ENSG00000186834,17,+,protein_coding,no,HEXIM P-TEFb complex subunit 1
MT-ND3,1.13E-90,-0.661084564,0.978,0.991,4.31E-86,-0.013,72.87860682,115.8220923,ENSG00000198840,MT,+,protein_coding,no,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
HSP90AA1,1.41E-89,-0.454339158,0.904,0.967,5.36E-85,-0.063,17.43536509,24.25930852,ENSG00000080824,14,-,protein_coding,yes,heat shock protein 90 alpha family class A member 1
MUC20-OT1,5.38E-89,1.039635557,0.689,0.359,2.05E-84,0.33,2.132187896,0.523653872,ENSG00000242086,3,+,lncRNA,no,MUC20 overlapping transcript
VMP1,7.94E-89,-1.393790901,0.566,0.792,3.03E-84,-0.226,1.123006015,4.578585496,ENSG00000062716,17,+,protein_coding,yes,vacuole membrane protein 1
HERPUD1,1.25E-87,-1.294368577,0.69,0.821,4.77E-83,-0.131,2.057809869,6.499878802,ENSG00000051108,16,+,protein_coding,no,homocysteine inducible ER protein with ubiquitin like domain 1
PABPC4,2.14E-87,-0.895777871,0.459,0.725,8.18E-83,-0.266,0.620206605,2.014577178,ENSG00000090621,1,-,protein_coding,no,poly(A) binding protein cytoplasmic 4
AP001528.2,5.46E-87,0.463894381,0.438,0.126,2.08E-82,0.312,0.553539446,0.126357257,ENSG00000255471,11,-,lncRNA,no,novel transcript
ICAM1,1.57E-86,-1.275175329,0.265,0.598,6.00E-82,-0.333,0.499448048,2.629087563,ENSG00000090339,19,+,protein_coding,yes,intercellular adhesion molecule 1
ATF4,1.90E-86,-0.811091695,0.582,0.777,7.24E-82,-0.195,1.09152623,2.669663522,ENSG00000128272,22,+,protein_coding,no,activating transcription factor 4
BTG2,1.76E-85,-1.24539592,0.693,0.847,6.72E-81,-0.154,3.058456265,8.621934556,ENSG00000159388,1,+,protein_coding,no,BTG anti-proliferation factor 2
HES1,8.82E-85,-1.604115093,0.589,0.81,3.36E-80,-0.221,2.170166496,8.63759853,ENSG00000114315,3,+,protein_coding,no,hes family bHLH transcription factor 1
GPC3,5.75E-84,1.139322616,0.497,0.191,2.19E-79,0.306,1.886048307,0.310187085,ENSG00000147257,X,-,protein_coding,yes,glypican 3
TTR,3.38E-83,-0.841705315,0.013,0.343,1.29E-78,-0.33,0.009611307,0.809392364,ENSG00000118271,18,+,protein_coding,no,transthyretin
XBP1,3.30E-82,-1.167013763,0.61,0.756,1.26E-77,-0.146,1.232190852,4.012304791,ENSG00000100219,22,-,protein_coding,no,X-box binding protein 1
SERPINE1,1.15E-81,-0.984936476,0.043,0.38,4.39E-77,-0.337,0.062870234,1.103660574,ENSG00000106366,7,+,protein_coding,yes,serpin family E member 1
NEU1,1.97E-81,-0.834944181,0.258,0.563,7.51E-77,-0.305,0.22319032,1.18191224,ENSG00000204386,6,-,protein_coding,yes,neuraminidase 1
RBM3,2.03E-81,-0.78323587,0.437,0.675,7.75E-77,-0.238,0.518059296,1.612559718,ENSG00000102317,X,+,protein_coding,no,RNA binding motif protein 3
ZC3H12A,4.82E-81,-0.678398992,0.079,0.423,1.84E-76,-0.344,0.071022199,0.714024077,ENSG00000163874,1,+,protein_coding,no,zinc finger CCCH-type containing 12A
EIF4A3,1.24E-80,-1.181861485,0.402,0.655,4.72E-76,-0.253,0.720795751,2.903957515,ENSG00000141543,17,-,protein_coding,no,eukaryotic translation initiation factor 4A3
ETS2,1.67E-79,-0.791766183,0.27,0.607,6.37E-75,-0.337,0.341473084,1.32234819,ENSG00000157557,21,+,protein_coding,yes,"ETS proto-oncogene 2, transcription factor"
PNRC1,1.73E-79,-1.102423546,0.793,0.898,6.59E-75,-0.105,3.376333342,8.396647815,ENSG00000146278,6,+,protein_coding,no,proline rich nuclear receptor coactivator 1
NUDT4,1.90E-79,-0.954680725,0.399,0.655,7.23E-75,-0.256,0.47109617,1.851206019,ENSG00000173598,12,+,protein_coding,no,nudix hydrolase 4
ABHD5,6.27E-79,-0.815842651,0.356,0.644,2.39E-74,-0.288,0.449590201,1.551751356,ENSG00000011198,3,+,protein_coding,no,abhydrolase domain containing 5
HNRNPH1,2.29E-78,-0.903990497,0.702,0.816,8.74E-74,-0.114,1.551959089,3.775314324,ENSG00000169045,5,-,protein_coding,no,heterogeneous nuclear ribonucleoprotein H1
AC018445.4,7.26E-78,-0.63331066,0.015,0.329,2.77E-73,-0.314,0.006943571,0.561890698,ENSG00000279981,18,+,TEC,no,TEC
DDX21,7.50E-76,-0.976912936,0.538,0.734,2.86E-71,-0.196,0.828369524,2.598686963,ENSG00000165732,10,+,protein_coding,no,DExD-box helicase 21
SLC19A2,5.56E-75,-0.717188773,0.152,0.475,2.12E-70,-0.323,0.132384749,0.861612752,ENSG00000117479,1,-,protein_coding,yes,solute carrier family 19 member 2
RNF17,8.84E-75,0.21450226,0.14,0,3.37E-70,0.14,0.160303532,0,ENSG00000132972,13,+,protein_coding,no,ring finger protein 17
AC016876.2,6.83E-74,-0.738391489,0.063,0.371,2.61E-69,-0.308,0.038221344,0.732079972,ENSG00000264772,17,+,lncRNA,no,novel transcript
LITAF,1.47E-73,-0.7696672,0.542,0.746,5.59E-69,-0.204,0.970724474,2.359841761,ENSG00000189067,16,-,protein_coding,yes,lipopolysaccharide induced TNF factor
TNFAIP6,3.19E-73,-1.723951871,0.14,0.45,1.22E-68,-0.31,0.143831925,2.778534902,ENSG00000123610,2,+,protein_coding,no,TNF alpha induced protein 6
TIPARP,3.73E-73,-0.735334976,0.244,0.55,1.42E-68,-0.306,0.25063919,1.082044071,ENSG00000163659,3,+,protein_coding,no,TCDD inducible poly(ADP-ribose) polymerase
SGK1,1.71E-72,-0.78200099,0.15,0.465,6.54E-68,-0.315,0.140617872,0.961308574,ENSG00000118515,6,-,protein_coding,yes,serum/glucocorticoid regulated kinase 1
ERF,2.07E-72,-0.690357723,0.172,0.483,7.90E-68,-0.311,0.144796977,0.847340094,ENSG00000105722,19,-,protein_coding,no,ETS2 repressor factor
GPX4,3.62E-72,0.777565808,0.851,0.738,1.38E-67,0.113,4.92079249,2.45389562,ENSG00000167468,19,+,protein_coding,no,glutathione peroxidase 4
BAG3,3.64E-72,-0.455541556,0.313,0.641,1.39E-67,-0.328,1.357965389,2.233471957,ENSG00000151929,10,+,protein_coding,yes,BAG cochaperone 3
TFRC,6.76E-72,-0.54694924,0.067,0.382,2.58E-67,-0.315,0.053814061,0.539614938,ENSG00000072274,3,-,protein_coding,yes,transferrin receptor
SFPQ,1.07E-71,-0.795931642,0.663,0.798,4.09E-67,-0.135,1.48095103,3.307422683,ENSG00000116560,1,-,protein_coding,no,splicing factor proline and glutamine rich
ATP1B3,1.62E-71,-0.986052834,0.456,0.68,6.17E-67,-0.224,0.61440688,2.197749797,ENSG00000069849,3,+,protein_coding,yes,ATPase Na+/K+ transporting subunit beta 3
PDK4,5.18E-71,0.79779828,0.681,0.383,1.97E-66,0.298,2.32761436,0.91413153,ENSG00000004799,7,-,protein_coding,no,pyruvate dehydrogenase kinase 4
RHOB,9.64E-71,-1.078424088,0.535,0.737,3.68E-66,-0.202,1.238689848,3.727504255,ENSG00000143878,2,+,protein_coding,yes,ras homolog family member B
ICAM4,1.01E-70,-0.665427664,0.024,0.319,3.83E-66,-0.295,0.014647007,0.609269074,ENSG00000105371,19,+,protein_coding,yes,intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)
AC020916.1,1.07E-70,-0.668644895,0.06,0.366,4.08E-66,-0.306,0.038693247,0.651085175,ENSG00000267519,19,-,lncRNA,no,novel transcript
NUFIP2,1.39E-70,-0.839201825,0.682,0.806,5.32E-66,-0.124,1.374594633,3.248292431,ENSG00000108256,17,-,protein_coding,no,nuclear FMR1 interacting protein 2
ADAMTS1,2.41E-70,-0.934489684,0.356,0.664,9.20E-66,-0.308,0.958997488,2.744064351,ENSG00000154734,21,-,protein_coding,no,ADAM metallopeptidase with thrombospondin type 1 motif 1
KLHL21,3.70E-70,-0.917071486,0.197,0.496,1.41E-65,-0.299,0.188833721,1.244849038,ENSG00000162413,1,-,protein_coding,no,kelch like family member 21
CLIC5,4.50E-70,0.614044768,0.332,0.086,1.72E-65,0.246,0.687504423,0.102551859,ENSG00000112782,6,-,protein_coding,no,chloride intracellular channel 5
BHLHE40,1.16E-69,-0.814135639,0.393,0.68,4.44E-65,-0.287,0.793214933,2.15291015,ENSG00000134107,3,+,protein_coding,no,basic helix-loop-helix family member e40
SLC25A25,1.58E-69,-0.632513612,0.122,0.442,6.03E-65,-0.32,0.115366858,0.72911272,ENSG00000148339,9,+,protein_coding,no,solute carrier family 25 member 25
PLK3,5.71E-69,-0.584033699,0.118,0.427,2.18E-64,-0.309,0.091062522,0.635540489,ENSG00000173846,1,+,protein_coding,no,polo like kinase 3
TNFAIP2,1.53E-68,-1.154165078,0.374,0.63,5.85E-64,-0.256,0.489724982,2.315464706,ENSG00000185215,14,+,protein_coding,no,TNF alpha induced protein 2
SLC25A33,2.06E-67,-0.607785365,0.14,0.444,7.84E-63,-0.304,0.128137735,0.719189509,ENSG00000171612,1,+,protein_coding,no,solute carrier family 25 member 33
C6orf62,3.68E-67,-0.707069114,0.476,0.7,1.40E-62,-0.224,0.638367792,1.674609693,ENSG00000112308,6,-,protein_coding,no,chromosome 6 open reading frame 62
EIF4A1,4.18E-67,-0.624609535,0.135,0.439,1.59E-62,-0.304,0.118287127,0.724167805,ENSG00000161960,17,+,protein_coding,no,eukaryotic translation initiation factor 4A1
MKNK2,7.24E-67,-0.789626345,0.417,0.657,2.76E-62,-0.24,0.594878521,1.756949585,ENSG00000099875,19,-,protein_coding,no,MAPK interacting serine/threonine kinase 2
MIR22HG,1.65E-66,-0.842162428,0.225,0.51,6.30E-62,-0.285,0.199198706,1.149845763,ENSG00000186594,17,-,lncRNA,no,MIR22 host gene
EIF1,5.54E-66,-0.681962872,0.896,0.95,2.11E-61,-0.054,10.64556753,17.68322907,ENSG00000173812,17,+,protein_coding,no,eukaryotic translation initiation factor 1
TLCD2,5.70E-66,-0.744353933,0.303,0.596,2.17E-61,-0.293,0.344463247,1.252276969,ENSG00000185561,17,-,protein_coding,yes,TLC domain containing 2
CHD1,6.08E-66,-0.857537151,0.335,0.586,2.32E-61,-0.251,0.373225564,1.488205722,ENSG00000153922,5,-,protein_coding,no,chromodomain helicase DNA binding protein 1
POLG2,6.49E-66,-0.607536951,0.097,0.398,2.48E-61,-0.301,0.077358965,0.641524147,ENSG00000256525,17,-,protein_coding,no,"DNA polymerase gamma 2, accessory subunit"
KLF2,9.57E-66,-1.062396761,0.444,0.711,3.65E-61,-0.267,1.370534678,3.950620151,ENSG00000127528,19,+,protein_coding,no,Kruppel like factor 2
LDHA,2.29E-65,-0.732117445,0.721,0.85,8.72E-61,-0.129,2.380409525,4.615114651,ENSG00000134333,11,+,protein_coding,no,lactate dehydrogenase A
UBE2S,2.29E-65,-1.005992086,0.311,0.563,8.74E-61,-0.252,0.368726637,1.74884665,ENSG00000108106,19,-,protein_coding,no,ubiquitin conjugating enzyme E2 S
MRPL34,2.56E-65,0.511315043,0.567,0.282,9.75E-61,0.285,0.826892219,0.281715868,ENSG00000130312,19,+,protein_coding,no,mitochondrial ribosomal protein L34
MAFB,5.87E-65,-0.967024232,0.286,0.573,2.24E-60,-0.287,0.446138974,1.82691878,ENSG00000204103,20,-,protein_coding,no,MAF bZIP transcription factor B
